file,word,n
03-25-21,filibuster,22
03-31-21,people,22
03-31-21,we’re,22
04-09-20,crisis,22
04-09-20,lot,22
04-09-20,unemployment,22
04-28-21,let’s,22
04-28-21,president,22
05-07-20,american,22
06-02-20,nation,22
06-11-20,lot,22
06-27-20,00,22
06-27-20,biden,22
06-27-20,campaign,22
06-30-20,testing,22
07-09-20,american,22
07-14-20,american,22
07-21-20,care,22
07-22-20,pay,22
07-22-20,there’s,22
08-06-20,president,22
09-03-20,president,22
09-15-20,security,22
09-18-20,they’re,22
09-23-20,lot,22
09-23-20,you’re,22
09-29-20,court,22
09-29-20,left,22
09-29-20,talk,22
09-29-20,tax,22
09-29-20,time,22
09-30-20,people,22
10-08-20,people,22
10-09-19,he’s,22
10-15-20,vice,22
10-16-20,president,22
10-18-20,it’s,22
10-21-20,that’s,22
10-22-20,let’s,22
10-25-20,biden,22
10-31-20,he’s,22
10-31-20,they’re,22
10-31-20,trump,22
11-18-20,don’t,22
12-02-20,time,22
12-04-20,i’m,22
12-09-20,military,22
12-20-19,issue,22
12-23-20,students,22
01-04-21,atlanta,21
01-15-20,change,21
01-15-20,debate,21
01-16-21,people,21
02-17-20,i’m,21
02-17-21,they’re,21
02-23-21,lot,21
03-16-20,ago,21
03-16-20,move,21
03-25-20,i’m,21
03-25-21,border,21
04-09-20,country,21
04-13-20,country,21
04-29-21,american,21
04-29-21,folks,21
06-27-20,covid,21
06-27-20,he’s,21
06-27-20,including,21
06-27-20,question,21
06-27-20,there’s,21
07-14-20,energy,21
07-14-20,we’re,21
07-22-20,can’t,21
07-29-20,don’t,21
08-06-20,conference,21
08-12-20,country,21
08-12-20,president,21
08-21-20,it’s,21
09-03-20,kenosha,21
09-03-20,they’re,21
09-15-20,home,21
09-23-20,they’re,21
09-29-20,law,21
09-29-20,millions,21
10-05-20,we’re,21
10-15-20,question,21
10-21-20,joe,21
10-21-20,vote,21
10-22-20,can’t,21
10-27-20,vote,21
10-30-20,texas,21
11-02-20,folks,21
11-10-20,we’re,21
11-16-20,we’re,21
11-18-20,they’re,21
11-24-20,united,21
12-02-20,there’s,21
12-02-20,you’re,21
12-04-20,we’re,21
12-08-20,100,21
12-08-20,public,21
12-16-20,cabinet,21
12-20-19,history,21
12-20-19,vice,21
12-20-19,we’ve,21
12-22-20,president,21
12-23-20,it’s,21
01-04-21,reverend,20
01-07-21,it’s,20
01-07-21,nation,20
01-08-21,job,20
01-15-20,day,20
01-15-20,mayor,20
01-15-20,question,20
01-15-20,vice,20
02-17-21,there’s,20
02-20-20,healthcare,20
02-20-20,stage,20
02-20-20,stop,20
02-20-20,vice,20
02-22-20,time,20
03-10-20,can’t,20
03-10-20,don’t,20
03-16-20,industry,20
03-16-20,let’s,20
03-16-20,money,20
03-16-20,question,20
03-16-20,security,20
03-16-20,terms,20
03-16-20,vote,20
03-19-21,president,20
04-07-21,infrastructure,20
04-13-20,crisis,20
04-29-21,people,20
05-14-20,that’s,20
05-14-20,time,20
05-20-20,food,20
05-20-20,you’re,20
06-27-20,19,20
06-27-20,vice,20
07-22-20,vice,20
07-28-20,don’t,20
08-06-20,community,20
08-06-20,latinos,20
08-06-20,that’s,20
08-08-19,trump,20
08-12-20,joe,20
09-03-20,can’t,20
09-03-20,there’s,20
09-07-20,act,20
09-18-20,american,20
09-21-20,trump,20
09-29-20,ahead,20
09-29-20,american,20
09-29-20,doesn’t,20
09-29-20,dollars,20
09-29-20,gentlemen,20
09-30-20,god,20
10-06-20,america,20
10-10-20,we’re,20
10-11-20,i’m,20
10-12-20,country,20
10-12-20,president,20
10-13-20,joe,20
10-15-20,didn’t,20
10-15-20,george,20
10-21-20,president,20
10-22-20,black,20
10-22-20,healthcare,20
10-25-20,joe,20
10-31-20,america,20
11-02-20,i’m,20
11-18-20,there’s,20
11-19-20,president,20
11-20-20,people,20
12-02-20,president,20
12-18-20,elect,20
12-19-20,i’m,20
12-20-19,he’s,20
12-20-19,money,20
12-20-19,policy,20
12-20-19,white,20
01-04-21,ready,19
01-04-21,time,19
01-07-21,elect,19
01-08-21,administration,19
01-08-21,i’m,19
01-14-21,americans,19
01-14-21,it’s,19
01-15-20,care,19
01-15-20,childcare,19
01-15-20,congress,19
01-15-20,issue,19
01-15-20,medicare,19
01-15-20,workers,19
01-15-20,you’re,19
01-20-21,america,19
02-20-20,can’t,19
02-20-20,klobuchar,19
02-20-20,lot,19
02-20-20,nevada,19
02-20-20,washington,19
02-25-21,vaccine,19
03-02-20,i’m,19
03-03-20,trump,19
03-10-20,he’s,19
03-10-20,time,19
03-11-21,we’ve,19
03-16-20,coronavirus,19
03-16-20,united,19
03-25-21,there’s,19
03-25-21,they’re,19
04-07-20,i’m,19
04-07-21,american,19
04-07-21,it’s,19
04-09-20,we’re,19
05-14-20,lot,19
05-14-20,president,19
05-20-20,can’t,19
06-11-20,employees,19
06-11-20,time,19
06-11-20,workers,19
06-27-20,don’t,19
06-27-20,families,19
06-27-20,islander,19
07-03-20,time,19
07-09-20,country,19
07-21-20,families,19
07-22-20,family,19
07-28-20,america,19
08-06-20,communities,19
08-08-19,president,19
08-12-20,america,19
08-17-20,i’m,19
09-09-20,we’re,19
09-15-20,00,19
09-18-20,i’m,19
09-18-20,that’s,19
09-18-20,you’re,19
09-23-20,pay,19
09-23-20,time,19
09-29-20,job,19
09-29-20,jobs,19
09-29-20,you’ve,19
10-12-20,time,19
10-13-20,biden,19
10-13-20,donald,19
10-15-20,vote,19
10-16-20,it’s,19
10-16-20,michigan,19
10-21-20,we’ve,19
10-22-20,american,19
10-22-20,businesses,19
10-22-20,respond,19
10-23-20,it’s,19
10-25-20,it’s,19
10-30-20,biden,19
10-31-20,michigan,19
11-16-20,i’m,19
11-16-20,workers,19
11-18-20,workers,19
12-02-20,business,19
12-02-20,insurance,19
12-04-20,president,19
12-08-20,19,19
12-16-20,president,19
12-20-19,donald,19
12-20-19,means,19
12-20-19,public,19
12-20-19,talking,19
01-04-21,country,18
01-04-21,jon,18
01-07-21,rule,18
01-15-20,biden,18
01-15-20,drugs,18
01-15-20,economy,18
01-15-20,klobuchar,18
01-15-20,middle,18
01-15-20,talk,18
01-21-21,it’s,18
01-27-21,american,18
01-27-21,energy,18
01-27-21,jobs,18
02-11-21,we’re,18
02-20-20,idea,18
02-20-20,start,18
02-20-20,united,18
02-20-20,warren,18
02-22-20,donald,18
02-22-20,i’m,18
02-23-21,stores,18
02-23-21,they’re,18
02-27-21,people,18
03-02-21,vaccine,18
03-12-20,health,18
03-16-20,bernie,18
03-16-20,support,18
03-16-20,they’re,18
03-16-20,trump,18
03-16-20,we’ve,18
03-19-21,you’re,18
03-25-21,coming,18
03-25-21,don’t,18
04-07-20,it’s,18
04-13-20,bernie,18
05-07-20,african,18
05-20-20,america,18
06-02-20,president,18
06-25-20,we’re,18
06-27-20,health,18
06-27-20,house,18
06-27-20,i’ve,18
06-27-20,inaudible,18
06-27-20,town,18
06-27-20,united,18
07-03-20,people,18
07-09-20,time,18
07-21-20,it’s,18
07-28-20,black,18
07-29-20,people,18
08-08-19,it’s,18
08-12-20,it’s,18
08-12-20,people,18
09-03-20,you’re,18
09-04-20,don’t,18
09-04-20,that’s,18
09-07-20,american,18
09-09-20,america,18
09-09-20,trump,18
09-15-20,time,18
09-20-20,president,18
09-21-20,it’s,18
09-23-20,school,18
09-26-20,it’s,18
09-29-20,call,18
09-29-20,military,18
09-29-20,obamacare,18
09-29-20,shut,18
10-03-20,president,18
10-09-19,president,18
10-13-20,president,18
10-15-20,what’s,18
10-16-20,that’s,18
10-22-20,families,18
10-22-20,millions,18
10-23-20,i’ll,18
10-23-20,people,18
10-23-20,virus,18
10-26-20,we’re,18
10-27-20,florida,18
10-27-20,he’s,18
10-27-20,they’re,18
10-27-20,we’ve,18
10-29-20,trump,18
10-29-20,vote,18
10-31-20,country,18
10-31-20,pandemic,18
10-31-20,vote,18
11-02-20,donald,18
11-20-20,transition,18
12-01-20,job,18
12-02-20,can’t,18
12-08-20,healthcare,18
12-09-20,defense,18
12-16-20,people,18
12-19-20,america,18
12-19-20,change,18
12-20-19,campaign,18
12-20-19,can’t,18
12-20-19,candidate,18
12-20-19,families,18
12-20-19,power,18
12-20-19,tax,18
12-20-19,yang,18
12-23-20,school,18
01-07-21,democracy,17
01-07-21,equal,17
01-08-21,time,17
01-14-21,american,17
01-14-21,plan,17
01-15-20,corporations,17
01-15-20,dollars,17
01-15-20,iraq,17
01-15-20,public,17
01-15-20,you’ve,17
01-21-21,plan,17
01-25-21,america,17
01-26-21,americans,17
01-27-21,it’s,17
02-17-20,it’s,17
02-17-21,talk,17
02-17-21,united,17
02-20-20,america,17
02-20-20,beat,17
02-20-20,billion,17
02-20-20,wealth,17
02-25-21,people,17
02-25-21,shots,17
03-02-20,we’re,17
03-03-20,i’m,17
03-16-20,million,17
03-16-20,social,17
03-16-20,talk,17
03-16-20,virus,17
03-25-20,school,17
03-25-21,american,17
03-25-21,i’ve,17
03-29-21,we’re,17
04-09-20,health,17
04-09-20,insurance,17
04-13-20,workers,17
04-21-21,vaccinated,17
05-14-20,day,17
05-20-20,services,17
06-11-20,i’ll,17
06-27-20,hall,17
06-27-20,healthcare,17
06-27-20,presidential,17
06-30-20,that’s,17
07-03-20,biden,17
07-03-20,country,17
07-03-20,don’t,17
07-03-20,educators,17
07-14-20,jobs,17
07-21-20,childcare,17
07-28-20,american,17
07-28-20,build,17
