file,word,n
07-27-20,we’ve,20
07-29-20,people,20
07-31-20,we’ve,20
08-04-20,million,20
08-05-20,arizona,20
08-06-20,he’s,20
08-11-20,people,20
08-12-20,schools,20
08-12-20,world,20
08-14-20,york,20
08-14-20,you’re,20
08-15-20,don’t,20
08-17-20,country,20
08-18-20,we’ve,20
08-20-20,we’ve,20
08-21-20,happen,20
08-21-20,left,20
09-04-20,china,20
09-07-20,i’m,20
09-07-20,lot,20
09-08-20,i’m,20
09-08-20,we’ve,20
09-13-20,love,20
09-14-20,people,20
09-14-20,that’s,20
09-18-20,bad,20
09-18-20,winning,20
09-19-20,hell,20
09-21-20,country,20
09-21-20,love,20
09-21-20,president,20
09-21-20,won,20
09-22-20,money,20
09-25-20,he’s,20
09-29-20,left,20
09-29-20,million,20
10-08-20,don’t,20
10-13-20,china,20
10-13-20,president,20
10-16-20,american,20
10-16-20,hell,20
10-16-20,win,20
10-17-20,i’ll,20
10-18-20,love,20
10-19-20,america,20
10-20-20,mike,20
10-21-20,american,20
10-21-20,china,20
10-21-20,dan,20
10-21-20,time,20
10-22-20,china,20
10-22-20,president,20
10-22-20,russia,20
10-22-20,they’re,20
10-24-20,job,20
10-25-20,america,20
10-25-20,american,20
10-27-20,biden,20
10-27-20,country,20
10-27-20,i’m,20
10-28-20,biden,20
10-31-20,country,20
11-01-20,vote,20
11-02-20,joe,20
11-02-20,president,20
11-13-20,vaccine,20
12-03-20,dame,20
12-06-20,military,20
12-06-20,money,20
12-06-20,trump,20
01-04-21,america,19
01-04-21,you’re,19
01-12-21,people,19
02-28-21,democrats,19
07-14-20,incredible,19
07-16-20,country,19
07-29-20,oil,19
07-31-20,florida,19
08-04-20,testing,19
08-09-20,that’s,19
08-12-20,democrats,19
08-12-20,money,19
08-13-20,china,19
08-14-20,job,19
08-18-20,biden,19
08-20-20,time,19
08-24-20,it’s,19
08-27-20,americans,19
08-28-20,america,19
09-04-20,countries,19
09-04-20,incredible,19
09-04-20,job,19
09-07-20,biden,19
09-07-20,country,19
09-08-20,lot,19
09-08-20,win,19
09-10-20,america,19
09-10-20,they’re,19
09-10-20,world,19
09-13-20,guy,19
09-16-20,lot,19
09-17-20,america,19
09-17-20,called,19
09-17-20,left,19
09-18-20,million,19
09-19-20,ago,19
09-19-20,story,19
09-19-20,vote,19
09-19-20,we’ve,19
09-21-20,job,19
09-22-20,love,19
09-24-20,american,19
09-24-20,win,19
09-29-20,dollars,19
09-29-20,president,19
09-29-20,that’s,19
10-09-20,ballots,19
10-09-20,stuff,19
10-10-20,people,19
10-14-20,i’ll,19
10-14-20,job,19
10-15-20,they’re,19
10-16-20,can’t,19
10-16-20,running,19
10-17-20,beautiful,19
10-18-20,remember,19
10-18-20,trump,19
10-18-20,water,19
10-21-20,guy,19
10-21-20,incredible,19
10-21-20,north,19
10-21-20,president,19
10-22-20,country,19
10-24-20,american,19
10-24-20,close,19
10-24-20,remember,19
10-25-20,china,19
10-25-20,incredible,19
10-25-20,plane,19
10-25-20,we’ve,19
10-25-20,win,19
10-28-20,lot,19
10-28-20,you’re,19
10-29-20,florida,19
10-29-20,governor,19
10-29-20,president,19
11-01-20,florida,19
11-01-20,lot,19
11-02-20,guy,19
11-02-20,history,19
11-05-20,lot,19
11-05-20,votes,19
12-06-20,happened,19
12-06-20,they’ll,19
01-04-21,love,18
01-19-21,american,18
02-28-21,american,18
07-16-20,job,18
07-20-20,people,18
07-28-20,that’s,18
07-29-20,american,18
07-29-20,don’t,18
07-29-20,it’s,18
07-29-20,job,18
07-31-20,drug,18
08-03-20,telehealth,18
08-07-20,country,18
08-07-20,million,18
08-07-20,we’ve,18
08-09-20,democrats,18
08-11-20,we’re,18
08-12-20,china,18
08-14-20,they’re,18
08-17-20,win,18
08-17-20,wisconsin,18
08-18-20,time,18
08-21-20,deal,18
08-21-20,i’m,18
08-21-20,president,18
08-27-20,jobs,18
08-27-20,nation,18
08-27-20,world,18
08-28-20,president,18
08-29-20,job,18
08-29-20,john,18
08-29-20,people,18
08-31-20,that’s,18
09-04-20,didn’t,18
09-07-20,didn’t,18
09-07-20,we’ll,18
09-08-20,deal,18
09-08-20,world,18
09-10-20,american,18
09-10-20,remember,18
09-10-20,we’ve,18
09-16-20,ballots,18
09-16-20,countries,18
09-16-20,didn’t,18
09-17-20,bad,18
09-17-20,we’ve,18
09-18-20,jason,18
09-18-20,plane,18
09-18-20,trump,18
09-19-20,bad,18
09-19-20,biden,18
09-19-20,care,18
09-19-20,job,18
09-19-20,world,18
09-21-20,america,18
09-21-20,wall,18
09-22-20,closed,18
09-22-20,i’ll,18
09-22-20,world,18
09-22-20,you’re,18
09-24-20,america,18
09-25-20,biden,18
09-25-20,lot,18
09-29-20,they’re,18
10-09-20,election,18
10-09-20,president,18
10-09-20,wall,18
10-13-20,didn’t,18
10-13-20,vote,18
10-14-20,incredible,18
10-14-20,jobs,18
10-14-20,you’re,18
10-15-20,we’ve,18
10-16-20,ago,18
10-16-20,trump,18
10-16-20,what’s,18
10-17-20,day,18
10-17-20,happen,18
